  
       XFOIL         Version 6.99
  
 Calculated polar for: PLOP                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.023 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4265   0.06326   0.05255   0.0123   1.0000   0.4861
  -4.500  -0.4041   0.05642   0.04568   0.0099   1.0000   0.5000
  -4.000  -0.3787   0.05005   0.03921   0.0071   1.0000   0.5211
  -3.500  -0.3456   0.04501   0.03412   0.0068   1.0000   0.5526
  -3.000  -0.3119   0.04065   0.02970   0.0068   1.0000   0.5928
  -2.500  -0.2798   0.03723   0.02634   0.0092   1.0000   0.6417
  -2.000  -0.2502   0.03430   0.02348   0.0119   1.0000   0.7036
  -1.500  -0.2246   0.03201   0.02143   0.0173   1.0000   0.7825
  -0.500  -0.0606   0.02855   0.01737  -0.0122   1.0000   1.0000
   0.000  -0.0257   0.03004   0.01810  -0.0166   1.0000   1.0000
   0.500   0.0058   0.03216   0.01974  -0.0192   1.0000   1.0000
   1.000   0.0356   0.03470   0.02195  -0.0217   1.0000   1.0000
   1.500   0.1004   0.03843   0.02538  -0.0309   0.9826   1.0000
   2.000   0.2256   0.04325   0.03001  -0.0493   0.9132   1.0000
   2.500   0.3235   0.04746   0.03415  -0.0603   0.8532   1.0000
   3.000   0.3842   0.05154   0.03819  -0.0646   0.8047   1.0000
   3.500   0.4499   0.05588   0.04254  -0.0687   0.7599   1.0000
   4.000   0.4910   0.06066   0.04733  -0.0699   0.7242   1.0000
   4.500   0.5031   0.06615   0.05279  -0.0692   0.7001   1.0000
   5.000   0.5208   0.07206   0.05870  -0.0697   0.6809   1.0000
   5.500   0.5397   0.07846   0.06512  -0.0708   0.6672   1.0000
   6.000   0.5458   0.08558   0.07227  -0.0725   0.6721   1.0000
   8.000   0.4559   0.10715   0.09381  -0.0715   0.9127   1.0000
   8.500   0.5026   0.11588   0.10268  -0.0770   0.8566   1.0000
   9.000   0.5377   0.12362   0.11052  -0.0799   0.8079   1.0000
   9.500   0.5733   0.13174   0.11875  -0.0826   0.7644   1.0000
  10.000   0.6075   0.14037   0.12747  -0.0848   0.7240   1.0000
  10.500   0.6353   0.14822   0.13542  -0.0862   0.6884   1.0000
  11.000   0.6610   0.15580   0.14311  -0.0872   0.6525   1.0000
  11.500   0.6676   0.15965   0.14702  -0.0864   0.6223   1.0000
  12.000   0.6883   0.16665   0.15410  -0.0874   0.5929   1.0000
  12.500   0.7172   0.17537   0.16293  -0.0891   0.5641   1.0000
  13.000   0.7282   0.18035   0.16797  -0.0897   0.5392   1.0000
  13.500   0.7496   0.18742   0.17514  -0.0912   0.5133   1.0000
  14.000   0.7768   0.19703   0.18486  -0.0932   0.4908   1.0000
  14.500   0.7857   0.20083   0.18871  -0.0945   0.4696   1.0000
  15.000   0.8021   0.20673   0.19468  -0.0964   0.4481   1.0000
