------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
FOCAL As-Built Full-Scale Turbine
======  Blade Properties =================================================================
33          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist       BlChord         BlAFID
     (m)           (m)            (m)            (deg)         (deg)          (m)             (-)
      0             0              0               0           33.464        3.843000            1
      0	            0	             0	             0	         33.464	       3.500	             1
      1.5094	      0	             0	             0	         33.464	       3.500	             1
      2.41504	      0	             0	             0	         30.069	       3.550	             2
      5.81119	      0	             0	             0	         20.071	       4.400	             2
      10.33939	    0	             0	             0	         12.760	       5.700	             2
      13.35819	    0	             0	             0	         9.949	       6.400	             2
      16.22605	    0	             0	             0	         8.033	       6.700	             2
      19.32032	    0	             0	             0	         6.507	       6.800	             2
      22.18818	    0              0	             0	         5.452	       6.700	             2
      25.13151	    0	             0	             0	         4.583	       6.500	             2
      28.07484	    0	             0	             0	         3.884	       6.200	             2
      31.09364	    0	             0	             0	         3.310	       5.800	             2
      34.03697	    0	             0	             0	         2.831	       5.403	             2
      36.9803	      0	             0	             0	         2.425         4.990	             2
      39.92363	    0	             0	             0	         2.077	       4.634	             2
      42.94243	    0	             0	             0	         1.775	       4.325	             2
      45.88576	    0	             0	             0	         1.510	       4.054	             2
      48.82909	    0	             0	             0	         1.277	       3.815	             2
      51.84789	    0	             0	             0	         1.070	       3.602	             2
      54.79122	    0	             0	             0           0.884	       3.411	             2
      57.81002	    0	             0	             0	         0.717	       3.239	             2
      60.75335	    0	             0	             0	         0.566         3.084	             2
      63.77215	    0	             0	             0	         0.429	       2.943	             2
      66.56454	    0	             0               0	         0.311	       2.821	             2
      68.82864	    0	             0	             0	         0.220	       2.728	             2
      70.79086	    0	             0	             0	         0.148	       2.654	             2
      72.60214	    0	             0	             0	         0.087	       2.450	             2
      73.80966	    0	             0	             0	         0.044	       2.250	             2
      74.48889	    0	             0	             0	         0.023	       1.900	             2
      74.79077	    0	             0	             0	         0.013	       1.700	             2
      75.24359	    0	             0	             0	         0.000	       1.000	             2
      75.47	        0	             0	             0	         0.000	       0.000	             2
