
Predictions were generated on 08-Feb-2024 at 16:01:56 using OpenFAST, compiled as a 64-bit application using single precision at commit Unversioned from 8e9c079e31d2cc1ac0f918288f98bdc745f85648
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FOCAL As Built Full Scale Turbine (only)

Time	Wind1VelX	Azimuth	BldPitch1	GenSpeed	RotSpeed	IPDefl1	OoPDefl1	RootMxb1	RootMyb1	TipDxb1	TipDyb1	NcIMUTAxs	NcIMUTAys	NcIMUTAzs	RotTorq	RotThrust	TwrBsMxt	TwrBsMyt	TwrBsMzt	YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp	TwrBsFzt	NacYaw	PtfmSurge	PtfmSway	PtfmHeave	PtfmRoll	PtfmPitch	PtfmYaw	YawBrTDxt	YawBrTDyt	RtAeroFxh	RtAeroFyh	RtAeroFzh	RtAeroMxh	RtAeroMyh	RtAeroMzh	RtVAvgxh	RtAeroCp	RtTSR	GenPwr	GenTq
(s)	(m/s)	(deg)	(deg)	(rpm)	(rpm)	(m)	(m)	(kN-m)	(kN-m)	(m)	(m)	(m/s^2)	(m/s^2)	(m/s^2)	(kN-m)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN)	(deg)	(m)	(m)	(m)	(deg)	(deg)	(deg)	(m)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m/s)	(-)	(-)	(kW)	(kN-m)
    0.0000	 1.283000E+01	 0.000000E+00	 1.721200E+00	 5.262900E+00	 5.262900E+00	 0.000000E+00	 0.000000E+00	-6.120963E+01	 3.126274E+03	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 2.174119E-06	 7.021708E+02	-4.632503E+02	-5.126666E+04	-4.814606E+01	 1.703276E-01	 3.400751E+00	-1.142269E+04	-2.941994E+01	-5.128838E+04	-4.814606E+01	-2.221346E+04	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 1.371686E+06	 7.126172E+02	-1.369363E+04	 1.615706E+07	-1.194020E+05	 2.813417E+06	 1.276446E+01	 1.516498E-01	 5.230058E+00	 7.239846E+03	 1.360578E+04
    0.0250	 1.283000E+01	 7.894878E-01	 1.719998E+00	 5.263770E+00	 5.263770E+00	 0.000000E+00	 0.000000E+00	 3.555801E+03	 3.606556E+04	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 1.360578E+04	 2.073857E+03	 1.326516E+04	 1.344505E+05	 1.318167E+03	 1.362911E+03	 4.112662E+00	-1.157968E+04	 1.378981E+04	-4.183371E+04	 1.318167E+03	-2.237045E+04	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 1.372106E+06	 5.921508E+02	-1.368477E+04	 1.616015E+07	-7.996738E+04	 2.814019E+06	 1.276453E+01	 1.517015E-01	 5.230895E+00	 7.181171E+03	 1.349328E+04
    0.0500	 1.283000E+01	 1.579140E+00	 1.719998E+00	 5.264721E+00	 5.264721E+00	 0.000000E+00	 0.000000E+00	 3.873236E+03	 3.617871E+04	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 1.326828E+04	 2.075118E+03	 1.290463E+04	 1.347015E+05	 1.354080E+03	 1.364175E+03	 4.297800E+00	-1.157972E+04	 1.345290E+04	-4.174399E+04	 1.354080E+03	-2.237049E+04	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 1.372554E+06	 4.693648E+02	-1.367677E+04	 1.616568E+07	-4.085817E+04	 2.814188E+06	 1.276459E+01	 1.517785E-01	 5.231815E+00	 7.122584E+03	 1.338078E+04
    0.0750	 1.283000E+01	 2.368901E+00	 1.719998E+00	 5.265697E+00	 5.265697E+00	 0.000000E+00	 0.000000E+00	 4.282562E+03	 3.619237E+04	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 1.326828E+04	 2.075202E+03	 1.290841E+04	 1.346743E+05	 1.351851E+03	 1.364263E+03	 4.268000E+00	-1.157968E+04	 1.345288E+04	-4.178245E+04	 1.351851E+03	-2.237046E+04	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 1.373008E+06	 3.438766E+02	-1.366650E+04	 1.617127E+07	-1.868185E+03	 2.813797E+06	 1.276456E+01	 1.518602E-01	 5.232797E+00	 7.064010E+03	 1.326828E+04
    0.1000	 1.283000E+01	 3.158853E+00	 1.719998E+00	 5.266715E+00	 5.266715E+00	 0.000000E+00	 0.000000E+00	 4.661168E+03	 3.623854E+04	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 1.315578E+04	 2.075638E+03	 1.279139E+04	 1.347349E+05	 1.362489E+03	 1.364704E+03	 4.305231E+00	-1.157966E+04	 1.334061E+04	-4.177807E+04	 1.362489E+03	-2.237044E+04	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 1.373473E+06	 2.154081E+02	-1.365377E+04	 1.617700E+07	 3.705904E+04	 2.812785E+06	 1.276450E+01	 1.519458E-01	 5.233837E+00	 7.005469E+03	 1.315578E+04
    0.1250	 1.283000E+01	 3.948915E+00	 1.719998E+00	 5.267776E+00	 5.267776E+00	 0.000000E+00	 0.000000E+00	 5.039565E+03	 3.628589E+04	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 1.304328E+04	 2.076122E+03	 1.267494E+04	 1.348018E+05	 1.373070E+03	 1.365192E+03	 4.338219E+00	-1.157965E+04	 1.322836E+04	-4.177345E+04	 1.373070E+03	-2.237042E+04	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 1.373958E+06	 8.458704E+01	-1.363988E+04	 1.618298E+07	 7.589434E+04	 2.811350E+06	 1.276450E+01	 1.520326E-01	 5.234890E+00	 6.946962E+03	 1.304328E+04
    0.1500	 1.283000E+01	 4.739168E+00	 1.719998E+00	 5.268879E+00	 5.268879E+00	 0.000000E+00	 0.000000E+00	 5.417657E+03	 3.633346E+04	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 1.293078E+04	 2.076633E+03	 1.255877E+04	 1.348718E+05	 1.384160E+03	 1.365707E+03	 4.369514E+00	-1.157964E+04	 1.311619E+04	-4.176904E+04	 1.384160E+03	-2.237041E+04	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 1.374466E+06	-4.788491E+01	-1.362533E+04	 1.618926E+07	 1.145665E+05	 2.809558E+06	 1.276450E+01	 1.521232E-01	 5.235984E+00	 6.888485E+03	 1.293078E+04
    0.1750	 1.283000E+01	 5.529584E+00	 1.719998E+00	 5.270025E+00	 5.270025E+00	 0.000000E+00	 0.000000E+00	 5.795372E+03	 3.638144E+04	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 1.281828E+04	 2.077169E+03	 1.244284E+04	 1.349451E+05	 1.395539E+03	 1.366247E+03	 4.399290E+00	-1.157963E+04	 1.300405E+04	-4.176460E+04	 1.395539E+03	-2.237041E+04	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 1.374996E+06	-1.820992E+02	-1.360937E+04	 1.619581E+07	 1.531191E+05	 2.807375E+06	 1.276453E+01	 1.522167E-01	 5.237109E+00	 6.830040E+03	 1.281828E+04
    0.2000	 1.283000E+01	 6.320192E+00	 1.719998E+00	 5.271213E+00	 5.271213E+00	 0.000000E+00	 0.000000E+00	 6.172660E+03	 3.642979E+04	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 1.270578E+04	 2.077718E+03	 1.232738E+04	 1.350202E+05	 1.406779E+03	 1.366799E+03	 4.425367E+00	-1.157963E+04	 1.289192E+04	-4.176002E+04	 1.406779E+03	-2.237040E+04	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 0.000000E+00	 1.375543E+06	-3.185586E+02	-1.359139E+04	 1.620261E+07	 1.916331E+05	 2.804656E+06	 1.276460E+01	 1.523127E-01	 5.238266E+00	 6.771623E+03	 1.270578E+04
